id,format,session_code,session_position,duration,presence,type,speaker,location,title,authors,abstract,paper_url,video_url,slides_url,image_url,image_credit
1,long,papers-1,1,15,in person,paper,Dr. Amelia Chen,Auditorium A,Gestural Latency in Wearable Controllers: A Field Study,"Amelia Chen, Theo Rivers","We report results from a six-month field deployment of three wearable gestural controllers with *forty non-expert users*. End-to-end latency above 35 ms correlated with measurable drops in self-reported expressivity — but only for dynamic articulations. Static gestures tolerated far more latency than the literature predicts.",https://example.org/papers/chen-rivers-2025.pdf,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,assets/research_image.jpg,Stock Photos Inc.
2,short,papers-1,2,8,remote,paper,David Park,Auditorium A,Haptic Feedback Grammars for Accessibility Interfaces,"David Park, Mei Lin","A small grammar of haptic primitives — *tap*, *brush*, *pulse*, *drag* — is sufficient to encode the majority of micro-interactions in three widely-used accessibility toolkits. We release an open-source library implementing the grammar and evaluate it with eight screen-reader users.",https://example.org/papers/park-lin-2025.pdf,,,assets/research_image.jpg,
3,short,papers-1,3,8,in person,paper,Dr. Mariana Souza,Auditorium A,Embodied Metaphors in Everyday Interaction Design,"Mariana Souza, James Oduya","We trace the migration of embodied metaphors from HCI research into mass-market consumer devices over the past fifteen years. **Three patterns dominate**: container, path, and force. We argue the remaining design space is substantially larger than the literature currently explores.",https://example.org/papers/souza-oduya-2025.pdf,,,assets/research_image.jpg,
20,keynote,keynote-1,1,45,in person,keynote,Dr. Marta Li,Main Auditorium,Foundations of Creative Computing,Marta Li,"Dr. Li's keynote traces a line from *early algorithmic art* — Nake, Molnár, Cohen — through contemporary generative systems, asking what changes when the materials of artistic practice become themselves programmable.",,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,assets/research_image.jpg,
21,keynote,keynote-2,1,45,remote,keynote,Prof. Rohan Patel,Main Auditorium,Algorithmic Ecologies,Rohan Patel,"**Algorithmic ecologies** frames generative systems as embedded in cultural, material, and political contexts rather than as autonomous technical objects. Prof. Patel argues that the next decade of creative computing research needs to take these contexts as first-class subject matter.",,,,assets/research_image.jpg,
30,workshop,workshop-a,1,180,in person,workshop,Elane Rodriguez,Lab 1,Designing Tangible Controllers,"Elane Rodriguez, Tobias Mayer","A hands-on workshop covering the full design cycle for a tangible controller: material sketches, microcontroller integration, firmware, and host-side mapping. Participants leave with a working prototype.",,,,assets/charles-martin-ventilation.jpg,Charles Martin
31,workshop,workshop-b,1,180,in person,workshop,Alexander Ivanov,Lab 2,Browser-based Creative Coding,Alexander Ivanov,"Modern browsers ship with WebAudio, WebMIDI, WebGL, and WebGPU. This workshop is a tour through the stack with small exercises at each layer. No prior JavaScript experience is required.",,,,assets/research_image.jpg,
32,workshop,workshop-c,1,180,in person,workshop,Priya Shah,Lab 1,Generative Audio for Live Performance,"Priya Shah, Noam Eliyahu","A practical workshop on integrating small generative audio models into live performance rigs. We cover latency management, prompt design for audio models, and hybrid hand/AI control mapping.",,,,assets/research_image.jpg,
40,installation,artworks-exhibition,1,,in person,artwork,Lina Okafor,Gallery Hall,Threshold: Ambient Field Recordings,Lina Okafor,"*Threshold* is an installation of sixteen speakers distributed along a corridor. As visitors pass through the space they trigger slow crossfades between field recordings made at the boundary between urban and rural environments across three continents.",,,,assets/charles-martin-ventilation.jpg,Lina Okafor
41,installation,"artworks-exhibition, artworks-performance",2,,in person,artwork,Kenji Maeda,Gallery Hall & Black Box,Feedback Garden,Kenji Maeda,"*Feedback Garden* runs as a standing installation during the exhibition and is activated as a scored performance during the evening. Each iteration produces a different state in the system, so the performance version is never identical to the walk-through version.",,,,assets/research_image.jpg,Kenji Maeda
42,performance,artworks-performance,1,10,in person,artwork,Priya Shah,Black Box Theatre,Resonant Bodies,"Priya Shah, Aiden Wong","A duet for two performers wearing contact-microphone vests. The vests' output is processed through a generative feedback network that learns from the previous minute of performance and shapes the subsequent minute accordingly.",,,,assets/charles-martin-ventilation.jpg,Priya Shah
43,performance,artworks-performance,3,15,in person,artwork,Samuel Ortiz,Black Box Theatre,Drift States,Samuel Ortiz,"A solo performance exploring long-form drift, with slowly evolving textures driven by a custom granular synthesizer. *Drift States* has been performed in four cities over the past year; each performance is unique.",,,,assets/research_image.jpg,
50,poster,papers-2,1,5,in person,paper,Jun Watanabe,Rising Stars Hall,Latency Compensation for Collaborative Browser Instruments,"Jun Watanabe, Ada Nwosu","A lightweight protocol for compensating round-trip latency in browser-based collaborative instruments. We show playable ensembles can be sustained across intercontinental links when *asymmetric* compensation is used.",https://example.org/papers/watanabe-nwosu-2025.pdf,,,assets/research_image.jpg,
51,poster,papers-2,2,5,remote,paper,Aisha Bello,Rising Stars Hall,Teaching Live Coding Remotely: Lessons from Three Terms,Aisha Bello,"Reflections on three terms of teaching live coding as a fully remote cohort. **Key findings**: latency shapes pedagogy as much as content choice; asynchronous listening parties were more effective than synchronous jams.",https://example.org/papers/bello-2025.pdf,,,assets/research_image.jpg,
52,demo,papers-2,3,5,in person,paper,Noam Eliyahu,Rising Stars Hall,A Mobile Toolkit for Sensor Sonification,"Noam Eliyahu, Priya Shah","An open-source toolkit that turns smartphone sensors into a live sonification stream over WebRTC. We demonstrate three use cases: fitness feedback, architectural acoustics, and sensor-driven ensemble performance.",https://example.org/papers/eliyahu-shah-2025.pdf,,,assets/charles-martin-ventilation.jpg,Priya Shah
